Complaint,DateOccur,Crime,crimeCat,Description,ILEADSAddress,ILEADSStreet,XCoord,YCoord,xyStatus
16-000029,01/01/2016 00:01,41011,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,2020,WASHINGTON AVE,903489.9,1019783,FALSE
16-000505,01/01/2016 00:01,43013,Aggravated Assault,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,232,N KINGSHIGHWAY BLVD,887583.9,1023730,FALSE
16-003727,01/01/2016 00:01,21000,Forcible Rape,RAPE -- FORCIBLE,3900,WEST BELLE PL,0,0,TRUE
16-017531,01/01/2016 00:01,21000,Forcible Rape,RAPE -- FORCIBLE,1400,MADISON ST,0,0,TRUE
16-033133,01/01/2016 00:01,21000,Forcible Rape,RAPE -- FORCIBLE,2900,WYOMING ST,0,0,TRUE
17-009506,01/01/2016 00:01,21000,Forcible Rape,RAPE -- FORCIBLE,1400,BAYARD AVE,0,0,TRUE
17-017054,01/01/2016 00:01,21000,Forcible Rape,RAPE -- FORCIBLE,3000,OHIO,0,0,TRUE
16-000011,01/01/2016 00:07,36111,Robbery,ROBBERY-COMMERCE PL/FIREARM USED/SUCCESS,4045,LINDELL BLVD,893199.2,1021854,FALSE
16-000134,01/01/2016 03:00,21000,Forcible Rape,RAPE -- FORCIBLE,4300,E FARLIN AVE,0,0,TRUE
16-000046,01/01/2016 03:10,42014,Aggravated Assault,ASSLT-AGGRV-KNIFE/CUT-1ST-ADULT-DOMESTIC,4218,MINNESOTA AVE,895674,999878.2,FALSE
16-000059,01/01/2016 05:45,21000,Forcible Rape,RAPE -- FORCIBLE,5400,RIDGE AVE,0,0,TRUE
16-000092,01/01/2016 11:55,41011,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5104,THEKLA AVE,893504,1040135,FALSE
16-000584,01/01/2016 12:00,31421,Robbery,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,1900,N TAYLOR AVE,892774.4,1029376,FALSE
16-007416,01/01/2016 12:00,44024,Aggravated Assault,ASLT-AGGRV-HND/FST/FT-1ST-CHILD-DOMESTIC,6327,S GRAND BLVD,888902.4,993937.2,FALSE
16-033794,01/01/2016 12:00,43025,Aggravated Assault,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,1744,PRESERVATION PL,906189.8,1022184,FALSE
16-033794,01/01/2016 12:00,43025,Aggravated Assault,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,1744,PRESERVATION PL,906189.8,1022184,FALSE
17-025159,01/01/2016 12:00,21000,Forcible Rape,RAPE -- FORCIBLE,4000,GILES AVE,0,0,TRUE
16-000084,01/01/2016 12:03,43016,Aggravated Assault,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,886,RIVERVIEW BLVD,896902.2,1052846,FALSE
16-003378,01/01/2016 13:30,44013,Aggravated Assault,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 3RD DEGRE",5355,DELMAR BLVD,884221.6,1026993,FALSE
16-000120,01/01/2016 14:30,31421,Robbery,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,0,DE BALIVIERE AVE / FOREST PARK,881473.6,1024738,FALSE
16-000128,01/01/2016 16:45,41011,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,500,N GRAND BLVD,896832.8,1021360,FALSE
16-000128,01/01/2016 16:45,41011,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,500,N GRAND BLVD,896832.8,1021360,FALSE
16-001139,01/01/2016 18:30,44022,Aggravated Assault,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN CHLD 2ND DEGRE",1016,HICKORY ST,905667.4,1013498,FALSE
16-000154,01/01/2016 19:30,42016,Aggravated Assault,ASSLT-AGGRV-KNIFE/CUT-3RD-ADULT-DOMESTIC,7891,RIO SILVA PL,886065.6,989710.8,FALSE
16-000149,01/01/2016 21:45,41016,Aggravated Assault,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,2001,MULLANPHY ST,904439.8,1023638,FALSE
